date,weekend,rain_mm
1/10/2006,1,0
2/10/2006,0,0
3/10/2006,0,0
4/10/2006,0,0
5/10/2006,0,0
6/10/2006,0,0
7/10/2006,1,0
8/10/2006,1,0
9/10/2006,0,0
10/10/2006,0,0
11/10/2006,0,0
12/10/2006,0,0
13/10/2006,0,0
14/10/2006,1,0
15/10/2006,1,0
16/10/2006,0,0
17/10/2006,0,0
18/10/2006,0,0
19/10/2006,0,0
20/10/2006,0,0.5
21/10/2006,1,0
22/10/2006,1,0
23/10/2006,0,0
24/10/2006,0,0
25/10/2006,0,0
26/10/2006,0,1.2
27/10/2006,0,0
28/10/2006,1,2.4
29/10/2006,1,0
30/10/2006,0,0
31/10/2006,0,0